Sale_ID,Brand,Model_Type,Year,Fuel_Type,Transmission,Color,Region,Units_Sold,Selling Price per unit ,Revenue_USD,Customer_Rating,Dealer_ID,Warranty_Years,manufacture price per unit
630,Honda,SUV,2012,Diesel,Manual,Blue,East,125,37515,4689375,2.5,5000,4,33815
676,Ford,Convertible,2020,Diesel,Manual,Gray,East,173,68175,11794275,4.9,3073,4,64475
699,Honda,SUV,2024,Diesel,Automatic,Blue,South,196,37492,7348432,2.9,7943,4,33792
701,Kia,Sedan,2010,Diesel,Manual,Red,North,30,32019,960570,3.8,2554,4,28319
722,Nissan,Truck,2015,Diesel,Manual,Red,East,162,11471,1858302,3.4,4998,4,7771
745,Ford,SUV,2023,Diesel,Manual,Silver,South,431,32949,14201019,2.9,1737,4,29249
763,Volkswagen,SUV,2020,Diesel,Manual,Gray,East,79,39461,3117419,4.5,4017,4,35761
776,Ford,Sedan,2017,Diesel,Manual,Silver,North,142,15081,2141502,4,2738,4,11381
778,Nissan,Hatchback,2017,Diesel,Automatic,Red,South,34,30384,1033056,4.4,3503,4,26684
801,Toyota,Sedan,2022,Diesel,Manual,Gray,South,303,51290,15540870,4.7,5140,4,47590
816,Honda,SUV,2020,Diesel,Manual,Black,West,275,74579,20509225,4.2,5415,4,70879
858,Hyundai,SUV,2014,Diesel,Manual,Blue,North,92,56427,5191284,4.3,8924,4,52727
885,Volkswagen,Hatchback,2016,Diesel,Automatic,Black,South,248,47877,11873496,3.7,7017,4,44177
892,BMW,Coupe,2020,Diesel,Automatic,Blue,South,464,53179,24675056,2.6,1597,4,49479
894,Audi,Hatchback,2010,Diesel,Manual,Blue,South,396,40992,16232832,2.5,5527,4,37292
936,Toyota,Hatchback,2011,Diesel,Manual,Red,West,352,65890,23193280,4.5,6877,4,62190
945,Ford,Hatchback,2013,Diesel,Manual,Black,West,369,20480,7557120,4.8,1512,4,16780
972,Toyota,Truck,2024,Diesel,Automatic,Black,East,198,36046,7137108,4.2,1094,4,32346
979,Nissan,Coupe,2010,Diesel,Manual,Black,South,256,63130,16161280,4.4,6457,4,59430
1006,Nissan,Hatchback,2016,Diesel,Automatic,Blue,South,441,70962,31294242,3.7,1613,4,67262
1020,Audi,Coupe,2022,Diesel,Manual,Silver,West,55,29608,1628440,4.2,1751,4,25908
1023,BMW,SUV,2014,Diesel,Manual,Black,North,393,30693,12062349,2.6,7718,4,26993
1042,Ford,Truck,2012,Diesel,Manual,Gray,North,384,70737,27163008,4.4,3178,4,67037
1081,Ford,Truck,2021,Diesel,Automatic,Blue,North,360,52345,18844200,4.3,6259,4,48645
1108,Kia,Convertible,2019,Diesel,Manual,Blue,East,496,69289,34367344,3.6,4377,4,65589
1119,Nissan,Truck,2019,Diesel,Manual,Red,South,313,72681,22749153,3.8,1525,4,68981
1140,Kia,Coupe,2020,Diesel,Manual,White,East,284,19782,5618088,3.5,4639,4,16082
1206,Volkswagen,Truck,2021,Diesel,Automatic,White,East,366,44804,16398264,3.9,3937,4,41104
1210,Hyundai,Coupe,2018,Diesel,Manual,Gray,East,263,55048,14477624,3.1,5565,4,51348
1234,Nissan,Convertible,2017,Diesel,Manual,Gray,North,418,57867,24188406,3.8,3711,4,54167
1267,Ford,Coupe,2024,Diesel,Manual,Silver,West,351,67867,23821317,3.2,6523,4,64167
1282,Nissan,Truck,2017,Diesel,Manual,Gray,South,414,52167,21597138,3.9,5257,4,48467
1284,Nissan,Coupe,2018,Diesel,Manual,Gray,West,137,44607,6111159,3,5886,4,40907
1288,Audi,Coupe,2023,Diesel,Automatic,Gray,East,182,45074,8203468,3.7,1634,4,41374
1308,Kia,Truck,2024,Diesel,Automatic,White,North,128,69132,8848896,4.5,1978,4,65432
1361,Toyota,Sedan,2017,Diesel,Automatic,White,East,235,54852,12890220,3.5,4232,4,51152
1375,BMW,Truck,2017,Diesel,Manual,Gray,North,309,19448,6009432,3.9,9950,4,15748
1382,Nissan,Coupe,2023,Diesel,Automatic,White,West,134,77655,10405770,4.4,6440,4,73955
1415,Honda,Coupe,2020,Diesel,Automatic,Gray,North,138,12768,1761984,3.3,7884,4,9068
1417,Toyota,Truck,2023,Diesel,Automatic,Black,West,226,37634,8505284,3.1,9387,4,33934
1449,Audi,Sedan,2010,Diesel,Automatic,White,East,448,28540,12785920,2.8,6371,4,24840
1470,BMW,Convertible,2019,Diesel,Manual,Gray,East,333,24172,8049276,3.9,9811,4,20472
1612,Honda,Coupe,2017,Diesel,Manual,Red,West,381,52491,19999071,4.1,3688,4,48791
1619,BMW,SUV,2024,Diesel,Automatic,Red,North,114,58543,6673902,3.9,6454,4,54843
1626,Volkswagen,Coupe,2016,Diesel,Automatic,Black,South,399,53252,21247548,4.9,8456,4,49552
1638,Chevrolet,Coupe,2010,Diesel,Manual,Gray,East,85,38224,3249040,3.3,3378,4,34524
1666,Kia,Truck,2018,Diesel,Manual,White,South,21,19048,400008,4.7,4279,4,15348
1717,Toyota,Coupe,2013,Diesel,Automatic,Black,East,152,65237,9916024,4.8,7937,4,61537
1724,Honda,Hatchback,2022,Diesel,Manual,Red,West,96,64248,6167808,3.6,8248,4,60548
1735,Honda,Convertible,2010,Diesel,Automatic,Black,North,85,17236,1465060,5,2101,4,13536
1771,Nissan,Convertible,2012,Diesel,Automatic,Silver,West,78,28320,2208960,3.1,5243,4,24620
1775,Honda,Sedan,2013,Diesel,Automatic,Silver,North,354,63723,22557942,4.4,7892,4,60023
1785,Audi,Convertible,2016,Diesel,Automatic,White,South,203,32097,6515691,4.6,6049,4,28397
1802,Kia,SUV,2015,Diesel,Manual,White,North,316,49232,15557312,4.8,6749,4,45532
1805,Kia,Hatchback,2019,Diesel,Automatic,Silver,West,254,34303,8712962,4.4,6818,4,30603
1857,Ford,SUV,2020,Diesel,Automatic,Silver,North,30,50760,1522800,3.4,6667,4,47060
1875,Chevrolet,Coupe,2010,Diesel,Manual,Black,West,345,74295,25631775,4,7712,4,70595
1948,Hyundai,SUV,2016,Diesel,Manual,Red,West,45,77125,3470625,4.9,9386,4,73425
1993,Chevrolet,Hatchback,2019,Diesel,Manual,Red,East,401,12548,5031748,2.8,5402,4,8848
1996,Ford,Sedan,2017,Diesel,Automatic,Gray,South,272,16745,4554640,3.8,2368,4,13045
2006,Kia,SUV,2011,Diesel,Manual,White,North,441,54054,23837814,3.3,4683,4,50354
2008,Ford,Truck,2010,Diesel,Manual,Blue,North,359,76045,27300155,3.9,1488,4,72345
2035,Ford,Truck,2010,Diesel,Manual,Blue,East,233,74761,17419313,4,3926,4,71061
2037,Volkswagen,SUV,2012,Diesel,Manual,Red,South,165,79721,13153965,2.7,5044,4,76021
2046,Ford,Convertible,2014,Diesel,Manual,Blue,East,138,41678,5751564,2.7,6801,4,37978
2054,Audi,Sedan,2020,Diesel,Automatic,White,East,373,58179,21700767,3.3,6197,4,54479
2062,BMW,SUV,2012,Diesel,Manual,Blue,North,291,35678,10382298,3,7319,4,31978
2063,Ford,Convertible,2017,Diesel,Automatic,Blue,North,395,59962,23684990,4.9,2781,4,56262
2068,Audi,Truck,2024,Diesel,Manual,White,East,396,79975,31670100,4.2,2531,4,76275
2073,Chevrolet,Coupe,2017,Diesel,Manual,Gray,West,42,55229,2319618,2.8,4706,4,51529
2075,BMW,Convertible,2018,Diesel,Automatic,Silver,South,408,72448,29558784,4.4,8405,4,68748
2081,Toyota,SUV,2018,Diesel,Manual,Blue,East,310,35820,11104200,3.3,3074,4,32120
2097,Ford,SUV,2021,Diesel,Automatic,White,South,28,12281,343868,2.7,8672,4,8581
2111,Toyota,Truck,2012,Diesel,Automatic,Red,West,264,78713,20780232,4.4,7527,4,75013
2123,Audi,Convertible,2014,Diesel,Manual,Red,South,355,40788,14479740,2.6,4103,4,37088
2142,Ford,Coupe,2012,Diesel,Manual,Blue,West,445,16137,7180965,4.1,1640,4,12437
2164,Volkswagen,Hatchback,2016,Diesel,Automatic,Red,North,134,75704,10144336,2.9,6350,4,72004
2168,Nissan,Coupe,2020,Diesel,Manual,Gray,East,330,39904,13168320,4.3,3935,4,36204
2188,BMW,Coupe,2021,Diesel,Automatic,Blue,South,99,39695,3929805,3.2,6658,4,35995
2194,Ford,Hatchback,2018,Diesel,Manual,Gray,East,60,26988,1619280,4.2,8137,4,23288
2199,Hyundai,SUV,2016,Diesel,Manual,White,South,18,71255,1282590,4,2896,4,67555
2201,Kia,Coupe,2024,Diesel,Manual,Black,North,103,25903,2668009,3.9,4517,4,22203
2238,Hyundai,Coupe,2023,Diesel,Automatic,Red,North,440,76082,33476080,3.1,4576,4,72382
2241,Volkswagen,Convertible,2018,Diesel,Automatic,Red,West,277,58455,16192035,4.8,7653,4,54755
2249,Honda,Convertible,2022,Diesel,Automatic,Black,West,450,41635,18735750,4.3,5519,4,37935
2276,Nissan,Hatchback,2018,Diesel,Automatic,Silver,South,108,26124,2821392,4.9,2056,4,22424
2290,Ford,Truck,2020,Diesel,Manual,White,East,330,51520,17001600,2.8,2956,4,47820
2347,Chevrolet,SUV,2014,Diesel,Automatic,Black,South,145,62975,9131375,3.2,8973,4,59275
2371,Ford,Truck,2015,Diesel,Manual,Silver,East,84,29843,2506812,3.9,5012,4,26143
2379,Volkswagen,Coupe,2019,Diesel,Automatic,Black,East,153,13318,2037654,3.4,4934,4,9618
2403,Volkswagen,Coupe,2011,Diesel,Automatic,Gray,South,367,30954,11360118,2.7,3605,4,27254
2431,Kia,Truck,2020,Diesel,Manual,Red,East,327,56669,18530763,4.1,9436,4,52969
2434,Hyundai,SUV,2016,Diesel,Automatic,Red,West,443,14797,6555071,4.1,9043,4,11097
2449,Nissan,Convertible,2023,Diesel,Manual,Blue,South,477,66499,31720023,3.3,5780,4,62799
2490,Hyundai,Sedan,2013,Diesel,Manual,Black,North,104,39093,4065672,3.8,2909,4,35393
2497,Ford,Truck,2022,Diesel,Manual,White,West,106,67279,7131574,2.5,1334,4,63579
2523,BMW,Hatchback,2011,Diesel,Automatic,Black,South,73,74009,5402657,4.9,6565,4,70309
2533,Kia,Truck,2015,Diesel,Manual,Red,South,346,66960,23168160,2.5,3641,4,63260
2538,Chevrolet,Convertible,2015,Diesel,Manual,Gray,South,134,25789,3455726,3.7,4827,4,22089
2539,Hyundai,Coupe,2023,Diesel,Manual,Red,West,73,39107,2854811,3.6,8335,4,35407
2560,Volkswagen,Hatchback,2015,Diesel,Automatic,Silver,North,136,46088,6267968,3.7,5776,4,42388
2567,Audi,Sedan,2019,Diesel,Automatic,Gray,East,121,40052,4846292,4.4,7701,4,36352
2576,Chevrolet,Coupe,2019,Diesel,Automatic,Silver,East,411,76857,31588227,2.6,2007,4,73157
2581,Honda,Sedan,2013,Diesel,Automatic,Red,North,386,22704,8763744,3.8,4184,4,19004
2582,Audi,Truck,2013,Diesel,Manual,Silver,West,451,75974,34264274,4.3,9565,4,72274
2583,BMW,Convertible,2019,Diesel,Manual,Gray,North,484,75700,36638800,2.5,2286,4,72000
2584,Volkswagen,Hatchback,2013,Diesel,Automatic,Blue,East,263,15678,4123314,4.7,9559,4,11978
2613,Ford,SUV,2012,Diesel,Automatic,Silver,East,429,79419,34070751,4.7,9345,4,75719
2621,Ford,Truck,2016,Diesel,Automatic,Blue,West,364,47433,17265612,4.6,4774,4,43733
2622,Toyota,Truck,2024,Diesel,Automatic,Silver,South,223,73948,16490404,3.6,2459,4,70248
2670,Honda,Convertible,2020,Diesel,Automatic,Blue,South,225,35561,8001225,4,9100,4,31861
2672,BMW,Convertible,2024,Diesel,Manual,White,South,230,41655,9580650,3.8,5825,4,37955
2677,Ford,Convertible,2022,Diesel,Automatic,Silver,West,247,45915,11341005,3.2,5439,4,42215
2709,Honda,SUV,2013,Diesel,Automatic,Silver,North,224,57287,12832288,3.6,1184,4,53587
2723,Nissan,SUV,2022,Diesel,Automatic,Black,South,498,67201,33466098,3.8,1926,4,63501
2754,Hyundai,SUV,2010,Diesel,Automatic,Silver,East,440,66763,29375720,3,6427,4,63063
2770,Audi,SUV,2023,Diesel,Manual,Red,North,106,52549,5570194,4.2,3095,4,48849
2823,Chevrolet,Sedan,2017,Diesel,Automatic,White,South,194,69710,13523740,2.6,9282,4,66010
2860,Chevrolet,Sedan,2010,Diesel,Automatic,Blue,North,388,53791,20870908,3.8,8468,4,50091
2883,Chevrolet,Hatchback,2012,Diesel,Manual,Red,East,350,67824,23738400,3.9,5177,4,64124
2888,Hyundai,Sedan,2012,Diesel,Automatic,Red,North,467,22805,10649935,3.4,7320,4,19105
2906,Toyota,Convertible,2012,Diesel,Automatic,Silver,South,346,16997,5880962,4,4427,4,13297
2922,Nissan,Sedan,2021,Diesel,Automatic,White,East,302,43978,13281356,4.8,7117,4,40278
2928,Audi,Sedan,2017,Diesel,Manual,Blue,East,386,25620,9889320,4,6774,4,21920
2932,Chevrolet,Coupe,2016,Diesel,Automatic,Red,West,314,55986,17579604,4.8,6411,4,52286
2940,Audi,SUV,2023,Diesel,Automatic,Red,South,204,59389,12115356,4.7,7434,4,55689
2958,Honda,Sedan,2013,Diesel,Manual,Black,North,393,48729,19150497,2.6,1041,4,45029
2964,Toyota,Coupe,2010,Diesel,Manual,Silver,South,395,78205,30890975,2.5,4736,4,74505
2965,Volkswagen,Coupe,2023,Diesel,Manual,Silver,West,65,76544,4975360,4.9,5924,4,72844
2991,Chevrolet,Convertible,2016,Diesel,Automatic,Gray,East,161,14650,2358650,2.6,4925,4,10950
3066,Volkswagen,Hatchback,2013,Diesel,Automatic,Red,North,328,63498,20827344,4.1,2699,4,59798
3077,Chevrolet,Hatchback,2014,Diesel,Manual,White,North,99,37177,3680523,2.8,3051,4,33477
3094,Honda,Convertible,2021,Diesel,Manual,White,West,228,10230,2332440,4.7,6913,4,6530
3114,Chevrolet,Truck,2018,Diesel,Automatic,White,East,20,11011,220220,4.7,4790,4,7311
3130,Hyundai,SUV,2012,Diesel,Automatic,Black,West,236,16149,3811164,3.4,9591,4,12449
3144,Ford,Truck,2014,Diesel,Automatic,Black,East,235,79843,18763105,4.3,7719,4,76143
3146,BMW,Hatchback,2020,Diesel,Manual,Black,North,424,50508,21415392,4.6,5245,4,46808
3150,BMW,SUV,2016,Diesel,Manual,Silver,South,205,30211,6193255,3.1,3421,4,26511
3165,Ford,Hatchback,2010,Diesel,Automatic,White,East,488,30673,14968424,3.3,6242,4,26973
3182,Ford,SUV,2020,Diesel,Manual,White,North,69,13764,949716,2.7,5021,4,10064
3215,Ford,Sedan,2018,Diesel,Automatic,Black,North,362,30614,11082268,3.2,2091,4,26914
3238,Volkswagen,SUV,2011,Diesel,Manual,Gray,West,272,56190,15283680,3.7,1742,4,52490
3239,Nissan,Truck,2020,Diesel,Automatic,Red,West,167,13281,2217927,4.9,5513,4,9581
3298,Nissan,Hatchback,2024,Diesel,Automatic,Silver,North,475,31628,15023300,4.1,3925,4,27928
3305,Chevrolet,Sedan,2016,Diesel,Automatic,Blue,West,127,55618,7063486,2.9,2700,4,51918
3309,Honda,Sedan,2021,Diesel,Automatic,Silver,West,405,14117,5717385,3,9342,4,10417
3316,Hyundai,Convertible,2016,Diesel,Automatic,Silver,South,290,65829,19090410,3.8,6531,4,62129
3328,Volkswagen,Truck,2015,Diesel,Automatic,Blue,West,415,41237,17113355,4.1,8804,4,37537
3340,BMW,Coupe,2014,Diesel,Automatic,Blue,South,442,25360,11209120,4.9,2148,4,21660
3353,Chevrolet,Truck,2012,Diesel,Automatic,Silver,East,111,75387,8367957,2.6,7824,4,71687
3360,Chevrolet,SUV,2018,Diesel,Automatic,Red,South,356,13979,4976524,3.6,2147,4,10279
3369,Honda,Convertible,2017,Diesel,Manual,Blue,West,190,16594,3152860,3.7,8320,4,12894
3381,Hyundai,Coupe,2016,Diesel,Manual,Gray,East,370,42601,15762370,4.6,3554,4,38901
3385,Ford,Truck,2021,Diesel,Manual,Gray,East,475,42369,20125275,3.3,8103,4,38669
3439,Kia,Sedan,2010,Diesel,Manual,Blue,West,237,36047,8543139,4.4,5944,4,32347
3453,Chevrolet,Sedan,2013,Diesel,Manual,White,North,62,25498,1580876,3.1,9682,4,21798
3471,Kia,Coupe,2010,Diesel,Manual,White,North,67,28175,1887725,4.7,2996,4,24475
3540,Audi,Truck,2013,Diesel,Automatic,Blue,East,52,75171,3908892,3.9,9536,4,71471
3548,Toyota,Convertible,2016,Diesel,Manual,Black,West,489,30509,14918901,4.5,8384,4,26809
3571,Chevrolet,Sedan,2024,Diesel,Automatic,Red,West,270,64826,17503020,4.2,1717,4,61126
3590,Ford,Hatchback,2023,Diesel,Manual,Red,North,265,46088,12213320,4.4,1658,4,42388
3594,Toyota,Coupe,2024,Diesel,Automatic,White,West,210,16349,3433290,4.8,8140,4,12649
3621,Audi,Truck,2023,Diesel,Manual,Gray,North,300,16040,4812000,3,6367,4,12340
3631,Kia,Convertible,2011,Diesel,Automatic,Silver,North,110,30723,3379530,4.1,5562,4,27023
3697,Honda,Coupe,2018,Diesel,Automatic,Gray,North,177,61787,10936299,3.1,1944,4,58087
3703,BMW,SUV,2017,Diesel,Manual,Blue,East,147,76987,11317089,4.2,3650,4,73287
3714,Volkswagen,Sedan,2024,Diesel,Automatic,Blue,West,349,59655,20819595,4.9,2808,4,55955
3725,Audi,Sedan,2012,Diesel,Automatic,Gray,South,388,53304,20681952,2.9,4866,4,49604
3747,Chevrolet,Truck,2023,Diesel,Manual,Blue,East,323,69070,22309610,3.7,3856,4,65370
3783,Audi,Coupe,2015,Diesel,Automatic,Red,West,368,71212,26206016,4.5,5336,4,67512
3818,Hyundai,Convertible,2024,Diesel,Automatic,White,East,227,64827,14715729,4.9,1170,4,61127
3833,BMW,Sedan,2016,Diesel,Manual,Black,East,437,10969,4793453,3.3,9515,4,7269
3850,Volkswagen,Convertible,2015,Diesel,Automatic,Silver,South,183,75461,13809363,2.5,6238,4,71761
3859,Honda,Hatchback,2021,Diesel,Automatic,Red,South,37,71805,2656785,2.7,3915,4,68105
3908,Ford,Truck,2023,Diesel,Manual,White,South,416,46984,19545344,3.4,2975,4,43284
3938,Chevrolet,Truck,2022,Diesel,Automatic,Red,West,339,69473,23551347,3.4,9613,4,65773
3941,Volkswagen,Hatchback,2010,Diesel,Automatic,Blue,West,494,26786,13232284,4.9,3662,4,23086
3942,Ford,Sedan,2013,Diesel,Manual,Red,East,20,62990,1259800,4.8,6352,4,59290
3950,Nissan,Hatchback,2014,Diesel,Manual,White,East,261,55540,14495940,3.4,2043,4,51840
3959,Honda,Truck,2012,Diesel,Automatic,Red,South,204,72083,14704932,2.8,7209,4,68383
3968,Honda,Hatchback,2020,Diesel,Automatic,Red,South,279,13579,3788541,4.3,4213,4,9879
3999,Nissan,SUV,2017,Diesel,Manual,Black,West,30,27379,821370,4.7,4363,4,23679
4005,Hyundai,Truck,2022,Diesel,Automatic,White,North,497,53484,26581548,4.7,8258,4,49784
4042,Audi,Sedan,2012,Diesel,Automatic,Black,East,278,73611,20463858,3.6,8906,4,69911
4063,Kia,Truck,2018,Diesel,Automatic,Red,North,428,76727,32839156,4,9095,4,73027
4085,Audi,Hatchback,2024,Diesel,Manual,Silver,West,482,57184,27562688,2.8,3349,4,53484
4109,Toyota,Convertible,2010,Diesel,Automatic,Blue,South,170,23589,4010130,3.9,3964,4,19889
4124,Audi,Convertible,2014,Diesel,Manual,Red,North,33,10426,344058,2.7,4764,4,6726
4130,Audi,Convertible,2015,Diesel,Manual,Black,North,358,69254,24792932,3.3,7129,4,65554
4159,Kia,Truck,2011,Diesel,Automatic,Gray,West,197,55636,10960292,4.7,6501,4,51936
4170,Honda,Truck,2021,Diesel,Manual,Black,West,111,45486,5048946,3.4,6850,4,41786
4178,Chevrolet,Convertible,2017,Diesel,Manual,Blue,East,75,55953,4196475,4.3,7371,4,52253
4180,Honda,Hatchback,2020,Diesel,Automatic,Gray,North,440,21264,9356160,3.8,3815,4,17564
4186,Ford,Coupe,2024,Diesel,Automatic,Red,North,393,53024,20838432,4.8,8580,4,49324
4219,Ford,Truck,2018,Diesel,Manual,Red,East,302,39140,11820280,2.8,3580,4,35440
4223,Volkswagen,Coupe,2021,Diesel,Manual,Gray,South,261,27004,7048044,2.9,3844,4,23304
4240,Ford,Truck,2019,Diesel,Automatic,Blue,West,269,49260,13250940,3.3,7151,4,45560
4243,Honda,Hatchback,2024,Diesel,Manual,Black,East,352,41643,14658336,3.1,4100,4,37943
4250,Toyota,SUV,2023,Diesel,Manual,Blue,North,438,32355,14171490,3.8,8464,4,28655
4264,BMW,Coupe,2016,Diesel,Automatic,White,West,234,47817,11189178,4.3,3772,4,44117
4270,Toyota,Convertible,2012,Diesel,Automatic,Gray,West,243,47788,11612484,2.9,8211,4,44088
4278,Honda,Coupe,2021,Diesel,Manual,Red,South,195,40083,7816185,3.7,2848,4,36383
4290,Toyota,Coupe,2024,Diesel,Manual,Gray,East,300,39269,11780700,4.7,6563,4,35569
4294,Volkswagen,Convertible,2024,Diesel,Automatic,Blue,West,242,75263,18213646,3.7,6429,4,71563
4333,Ford,SUV,2018,Diesel,Manual,Gray,West,111,66850,7420350,3.8,9716,4,63150
4371,Toyota,SUV,2011,Diesel,Automatic,Red,East,162,63990,10366380,4.5,2096,4,60290
4387,Volkswagen,SUV,2018,Diesel,Manual,White,North,364,21722,7906808,4.4,7119,4,18022
4402,Kia,Truck,2018,Diesel,Automatic,Blue,East,368,41757,15366576,2.7,1605,4,38057
4441,Nissan,Hatchback,2016,Diesel,Automatic,Red,West,10,22744,227440,3.6,8178,4,19044
4466,Volkswagen,Hatchback,2016,Diesel,Manual,Blue,North,337,13893,4681941,2.9,3661,4,10193
4527,Ford,Sedan,2015,Diesel,Manual,Blue,West,72,16358,1177776,2.9,6150,4,12658
4535,Chevrolet,Truck,2015,Diesel,Automatic,Blue,West,97,52057,5049529,3.9,7596,4,48357
4545,Audi,Sedan,2023,Diesel,Manual,Gray,North,238,50583,12038754,4.4,3043,4,46883
4570,Kia,Convertible,2021,Diesel,Automatic,Gray,West,55,49769,2737295,4.9,9935,4,46069
4571,Audi,Hatchback,2017,Diesel,Manual,Silver,South,469,71949,33744081,4.6,4469,4,68249
4594,BMW,Convertible,2024,Diesel,Automatic,Red,West,122,52997,6465634,3.4,8597,4,49297
4602,Honda,Truck,2018,Diesel,Automatic,Blue,South,331,49009,16221979,3.9,5364,4,45309
4604,Toyota,Coupe,2011,Diesel,Manual,Gray,North,69,74267,5124423,3.4,1717,4,70567
4615,Toyota,Sedan,2018,Diesel,Automatic,White,South,297,59592,17698824,4,8621,4,55892
4636,Audi,Sedan,2016,Diesel,Automatic,White,North,367,72903,26755401,3.2,6299,4,69203
4639,Nissan,Coupe,2016,Diesel,Manual,White,East,172,51877,8922844,2.7,4747,4,48177
4698,Nissan,SUV,2012,Diesel,Manual,Silver,South,103,61129,6296287,3.8,4347,4,57429
4711,Kia,Sedan,2015,Diesel,Automatic,Blue,North,127,48715,6186805,3.8,5299,4,45015
4722,Chevrolet,Sedan,2017,Diesel,Manual,Gray,North,51,57898,2952798,5,1207,4,54198
4737,Chevrolet,Sedan,2015,Diesel,Manual,White,North,304,26545,8069680,3.9,6919,4,22845
4779,Volkswagen,Truck,2024,Diesel,Automatic,Silver,North,118,70889,8364902,3,3193,4,67189
4801,Ford,Sedan,2021,Diesel,Manual,Red,North,446,45006,20072676,3.2,7420,4,41306
